reference,answer type,answer,query
111111,,server,weblogic11g -- the 11.x july 2009 release of weblogic server a java-ee application @placeholder suite from oracle .
111111,,web,frontpage -- frontpage is a design tool for @placeholder publishing which was part of microsoft office .
111111,,server,weblogic11g -- the 11.x july 2009 release of weblogic @placeholder a java-ee application server suite from oracle .
111111,,database,ddl -- data definition language is a subset of sql to manipulate structural elements of a @placeholder not the content of tables .
111111,,ios,uinavigationbar -- the uinavigationbar class implements a control for navigating hierarchical content in @placeholder .
111111,,java,jsr250 -- jsr 250 : common annotations for the @placeholder platform .
111111,,web,evaporate.js -- evaporatejs is a javascript library for directly uploading files from a @placeholder browser to aws s3 using s3 s multipart upload .
111111,,s,dynamics-ax-2009 -- microsoft-dynamics ax is one of microsoft @placeholder enterprise resource planning software products .
111111,,api,tweetstream -- tweetstream provides access to twitter s streaming @placeholder in python or ruby .
111111,,java,gottox -- gottox refers to gottox socket.io-java-client which is a socket.io client implementation in @placeholder .
