reference,answer type,answer,query
000000,,ruby,rinari -- rinari is an emacs minor mode that is aimed towards making emacs into a top-notch @placeholder and rails development-environment .
000000,,interface,libreplan -- libreplan is a collaborative tool to plan monitor and control projects and has a rich web @placeholder which provides a desktop alike user-experience .
000000,,transactional,postmark -- postmark helps deliver and track @placeholder emails for web-applications .
000000,,odp.net,oracle-manageddataaccess -- the oracle.manageddataaccess is a data-access namespace in @placeholder which is used in contrast with oracle.dataaccess .
000000,,interface,urllib -- python-module providing a high-level @placeholder for fetching data across the world wide web .
000000,,abstract-algebra,galois-field -- galois-field also knows as finite-field in @placeholder is a field that contains a finite number of elements .
000000,,module,fortran-iso-c-binding -- the standard fortran interoperability with c consists of the bind c attribute which enables c calling conventions and changes symbol names and the iso c binding @placeholder which provides access to named constants that represent kind type parameters of data representations compatible with c types the derived type c ptr corresponding to any c data pointer type the derived type c funptr corresponding to any c function pointer type and four procedures .
000000,,extjs,extjs2 -- the december 2007 release of @placeholder the object oriented javascript-framework for creating desktop-like applications .
000000,,grid,onscrolllistener -- onscrolllistener is an interface definition for a callback to be invoked when the list or @placeholder has been scrolled in android devices .
000000,,database,sqlcipher -- sqlcipher is an open-source extension to sqlite that provides transparent 256-bit aes encryption of @placeholder files .
000000,,deepsql,deepsql -- issues and questions pertaining to the @placeholder plugin from deep information sciences .
000000,,web-services,fedex -- describes how to use @placeholder to designand deploy applications enabled by fedex .
000000,,user,personalization -- personalization involves using technology to accommodate the differences between individuals such as greeting the user by name or varying content according to what you know about the @placeholder s interests .
000000,,xunit,xunit2 -- related to the version 2 of xunit : https : github.com xunit @placeholder releases .
000000,,sql,pg-stat-statements -- the pg-stat-statements postgresql module provides a means for tracking execution statistics of all @placeholder statements executed by a server .
000000,,polygon,gouraud -- gouraud shading named after henri gouraud is an interpolation method used in computer graphics to produce continuous shading of surfaces represented by @placeholder meshes .
000000,,hierarchical,argh -- a very simple python wrapper for argparse with support for @placeholder commands that can be bound to modules or classes .
000000,,jquery,primefaces -- primefaces is a jsf component library that ships with a large set of rich components which utilizes @placeholder and jquery-ui under the covers .
000000,,core-animation,caemitterlayer -- the caemitterlayer class provides a particle emitter system for @placeholder .
000000,,server,zend-soap -- questions about the soap functionality packaged with zend-framework : zend-soap @placeholder zend-soap client etc .
000000,,test-coverage,coveralls -- coveralls is a code @placeholder tool and associated service to display the code test-coverage trends .
000000,,connectivity,apache-commons-dbutils -- apache-commons-dbutils is a toolkit that simplifies the usage of the java database @placeholder jdbc api .
000000,,gwt,gwt-preprocessor -- gwt-preprocessor is a reflection implementation for @placeholder .
000000,,html,component.io -- component is a vertically integrated frontend solution handling everything from package management to the build-process handling everything including @placeholder js css images and font .
000000,,syslog,syslog4j -- syslog4j provides client and server implementations of the bsd syslog protocol rfc 3164 and the structured @placeholder protocol rfc 5424 .
000000,,templating,fluid -- fluid is a an xml-based @placeholder system for typo3 .
