reference,answer type,answer,query
000100,,php,homestead -- laravel homestead is an official pre-packaged vagrant box that provides you a wonderful development-environment without requiring you to install @placeholder hhvm a web server and any other server software on your local machine.homestead runs on any windows mac or linux system and includes the nginx web server php-5 .6 mysql postgres redis memcached and all of the other goodies you need to develop amazing laravel applications .
001011,,interface,mscapi -- the cryptographic application programming interface ms-capi is an application programming @placeholder included with microsoft windows operating systems that provides services to enable developers to secure windows-based applications using cryptography .
000101,,audio,web-audio -- web-audio is a javascript api providing low-level low-latency @placeholder playback and manipulation functions in html5 capable web browsers .
000101,,.net,sharpziplib -- ziplib sharpziplib is a zip gzip tar and bzip2 library written entirely in c for the @placeholder platform .
000011,,asp.net,sitecore7 .1 -- sitecore is a web content-management-system cms built on microsoft @placeholder .
001100,,xml,smooks -- smooks is an extensible framework for building applications for processing @placeholder and non xml data csv edi java etc using java .
001101,,wysiwyg,aloha-editor -- the term aloha-editor refers to the correspondent modern html5 @placeholder editor .
000100,,c++,openacc -- the openacc application program interface describes a collection of compiler-directives to specify loops and regions of code in standard c @placeholder and fortran to be offloaded from a host cpu to an attached accelerator providing portability across operating systems host cpus and accelerators .
110100,,s,amazon-firefly -- firefly is amazon s system that allows visual-recognition of real world objects and linkage into amazon @placeholder ecosystem .
001110,,jquery,jquery-accordion -- an expandable collapsible content pane plugin from @placeholder .
001101,,javascript,i18next -- i18next is a full-featured i18n @placeholder library for translating your webapplication .
111100,,open-source,umbraco7 -- umbraco 7 is the seventh stable release of umbraco - an @placeholder content-management-system cms platform for publishing content on the world wide web and intranets .
100110,,.net,backgroundworker -- backgroundworker is a helper class in @placeholder s system.componentmodel namespace providing a general implementation of the event-based asynchronous pattern to manage a worker thread support cooperative cancellation and report progress .
001100,,python,ctypes -- ctypes is a python package that wraps c .dll .so libraries in pure @placeholder .
110111,,java,jdepend -- jdepend is a tool that traverses @placeholder class file directories and generates software package metrics most importantly dependency cycle detection and distance from the main sequence to measure the design quality for java packages .
100000,,java,jcombobox -- a jcombobox is a @placeholder gui object .
100110,,s,sequence-points -- points in a program @placeholder execution at which it is guaranteed that all side effects of previous evaluations will have been performed and no side effects from subsequent evaluations have yet been performed .
110100,,s,sweave -- sweave is a system for combining @placeholder or r code with latex in a single document .
000100,,javascript,ko.observablearray -- an observablearray is a knockout.js construct similar to a regular array in @placeholder except that it allows for observing changes to the collection e.g .
001111,,api,annotatedtimeline -- part of the google-visualization graphing @placeholder .
100000,,s,plsql -- pl sql procedural language structured query language is oracle corporation @placeholder procedural language extension for sql .
010000,,java,jmf -- jmf stands for the @placeholder media framework .
000101,,c++,nana -- the nana project is a modern @placeholder library aimed at providing a gui framework for cross-platform programming .
000111,,database,rmongodb -- rmongodb is a full featured driver for the r language to interface with the mongodb @placeholder .
000101,,scala,scalafx -- scalafx is a ui dsl written within the @placeholder language that sits on top of javafx 2.0 not to be confused with ingo maier s great work on functional reactive-programming for swing .
000100,,pdf,jpedal -- jpedal is a commercial java @placeholder library distributed by idr solutions .
000101,,video,brightcove -- brightcove video cloud is a @placeholder hosting and publishing platform .
000100,,server,sharepoint2010-bcs -- sharepoint2010-bcs refers to business connectivity services in sharepoint @placeholder 2010 .
000101,,erlang,rebar3 -- erlang build tool that makes it easy to compile and test @placeholder applications and releases .
